Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0010__00330	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00329	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00916	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00138	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00369	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00498	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00654	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00406	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00393	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00094	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00370	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00335	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00347	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00345	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00338	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00340	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00347	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00341	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00346	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00347	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00345	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00375	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00113	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00349	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00351	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00358	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00449	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00456	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00361	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00353	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00354	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00358	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00421	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00365	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00361	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0100__00030	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00184	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00406	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00654	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00708	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00465	pvrig_8x6b_chainB
