job_id	own_model_count	rli_model_count	common_model_count	model_jaccard	model_set_exact
CANDIDATE_V29_GEN__C0116__4B802507E6528736_8x6b_s917_1aa73a5ec767	7	9	6	0.6	false
CANDIDATE_V29_GEN__C0116__6E5484A8648D1289_8x6b_s917_11ee7addb525	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0116__A5D1FEEB59765E67_9e6y_s917_149b9188c90e	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0119__4B7C38E770421787_8x6b_s917_0b0f83f5102c	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0119__7C292F8DF1789535_9e6y_s917_14ada8b45901	7	10	4	0.3076923076923077	false
CANDIDATE_V29_GEN__C0119__8A12E9CB43E9C26C_9e6y_s917_16921e559630	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0119__F9E67FA8D39B8C17_9e6y_s917_0acc2323203e	8	8	7	0.7777777777777778	false
CANDIDATE_V29_GEN__C0125__0A9B5D198F98BAA7_9e6y_s917_186cec853de1	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0125__0E02077B2828A598_8x6b_s917_1edaac2820b5	9	6	3	0.25	false
CANDIDATE_V29_GEN__C0125__1A304E2EC35D9A31_9e6y_s917_1b585616c356	10	9	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0125__1F49E2EDF14C298B_9e6y_s917_11ab3b261910	9	10	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0125__346B35D1239EDB61_8x6b_s917_0fec14e87883	4	8	1	0.09090909090909091	false
CANDIDATE_V29_GEN__C0125__346B35D1239EDB61_9e6y_s917_154f7ad27aa8	7	8	5	0.5	false
CANDIDATE_V29_GEN__C0125__55753AD2AE0782DE_9e6y_s917_1a5ba3c53d76	8	9	8	0.8888888888888888	false
CANDIDATE_V29_GEN__C0125__57D1BF6B44C982A5_8x6b_s917_0bf65c4a7f41	8	10	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0125__5970830689CACFB7_8x6b_s917_0fea32b81972	10	7	4	0.3076923076923077	false
CANDIDATE_V29_GEN__C0136__1F64F4CF20ABF9A3_9e6y_s917_229ca9fab61b	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0136__30ECCC94AD7CA6D8_8x6b_s917_14c304069ec0	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0136__30ECCC94AD7CA6D8_9e6y_s917_0eb277f94fbc	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0136__6F5779BFB703AC72_9e6y_s917_18a6708b9d70	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0136__7B2F1075D69836D7_9e6y_s917_0acce2ff2a84	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0136__83130CA13095E2AC_8x6b_s917_0e776af4a5d5	10	9	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0136__99A046896F0DD1FD_9e6y_s917_11d06558379d	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0136__CE30C3070CC6DA4A_8x6b_s917_0f157be1f7b9	9	9	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0136__FBF11DF741D33FAA_8x6b_s917_1bca1c095918	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0138__1ABD8B9BB9548166_8x6b_s917_1617e392a524	10	9	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0138__1ABD8B9BB9548166_9e6y_s917_17e3beaec563	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0138__5DE9467D847BC50A_9e6y_s917_170cdb2c9228	8	10	6	0.5	false
CANDIDATE_V29_GEN__C0138__A4F44B5A33E6CBF4_9e6y_s917_0bb4ef91a8ad	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0138__C59459EA7EF06D5C_8x6b_s917_1201ac7e1b08	7	5	5	0.7142857142857143	false
CANDIDATE_V29_GEN__C0139__054EEC5FC722CC3E_9e6y_s917_18f5bc0414ff	9	9	8	0.8	false
CANDIDATE_V29_GEN__C0139__5531C72DE083D3B0_9e6y_s917_249e97389e6b	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0139__57A9609DC8467501_9e6y_s917_0abd49794b4f	9	7	7	0.7777777777777778	false
CANDIDATE_V29_GEN__C0139__76AA01082CA93978_9e6y_s917_2366e0647eae	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0139__815509EBDCB54B17_8x6b_s917_10711f72745c	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0139__84B76180E8609010_8x6b_s917_1c62fbcc944b	10	10	6	0.42857142857142855	false
